VoB,Voorstersluis Basculebrug,Kraggenburg - brug Voorstersluis,
ArB,Arie de Witbrug,Urk - Arie de Witbrug,
ZwB,Zwolsebrug,Urk - Zwolsebrug,
ElB,Elburgerbrug,Elburg - Elburgerbrug,
MaB,Marknessersluis Basculebrug,Marknesse - brug Marknessesluis,
FrB,Friesesluis Basculebrug,Lemmer - brug Friese Sluis,
KeB,Ketelsluis Ophaalbrug,Dronten - brug Ketelsluis,
NoB,Noordersluis Basculebrug,Lelystad - brug Noordersluis,
ZuB,Zuidersluis Ophaalbrug,Almere - brug Zuidersluis,
VhB,Vollenhoverbrug,Vollenhove- Vollenhoverbrug,
ToB,Tollebekerbrug,Tollebeek - Tollebekerbrug,
UrB,Urkersluis Basculebrug,Urk - brug Urkersluis,
KaB,Kampersluis Ophaalbrug,Dronten - brug Kampersluis,
